Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
27.03.2024 00:00;5.6E-45;5.6E-45;1.1E-44;36.186024;28.90394;44.86918;44.7651;44.8402;134.47447;234.16954;233.9366;234.32637;22.955479;23.326578;20.816668;145.60287;398.674;81.951294;97.0;134.5474;0.36823237;0.58743805;0.21920568;0.0
27.03.2024 00:05;5.6E-45;5.6E-45;1.1E-44;36.21438;28.9531;48.351864;48.24843;48.324173;144.92447;237.2994;236.85501;237.46977;22.955479;23.261894;20.783333;153.98947;398.59772;81.79852;97.0;146.04836;0.3971956;0.87909;0.4818944;0.0
27.03.2024 00:10;5.6E-45;5.6E-45;1.1E-44;36.19036;28.92264;46.13761;46.037598;46.125813;138.30103;237.4841;237.12791;237.68742;22.935219;23.27684;20.766666;148.83006;398.55957;81.651924;97.0;138.16893;0.48723045;0.4724447;-0.014785737;0.0
27.03.2024 00:15;5.6E-45;5.6E-45;1.1E-44;36.160675;28.837046;47.635387;47.53624;47.64314;142.81477;238.32256;237.81015;238.36601;22.894634;23.27684;20.766666;153.09056;398.55957;81.502014;97.0;143.05792;0.6145489;0.65904415;0.044495225;0.0
27.03.2024 00:20;5.6E-45;5.6E-45;1.1E-44;36.14733;28.827116;49.379745;49.285767;49.385086;148.0506;238.30746;238.074;238.54695;22.904787;23.166965;20.749998;156.18556;398.674;81.34779;97.0;148.41853;0.47043538;0.55870986;0.08827448;0.0
27.03.2024 00:25;5.6E-45;5.6E-45;1.1E-44;35.890953;28.520483;77.24345;77.123604;77.18586;231.55292;235.43849;234.96492;235.54434;22.909866;23.326578;20.758333;260.24414;398.1781;81.121315;97.0;233.49707;0.30405605;0.61950594;0.3154499;0.0
27.03.2024 00:30;5.6E-45;5.6E-45;1.1E-44;35.741085;28.34003;74.21043;74.11029;74.17049;222.4912;235.2423;234.75545;235.4237;22.904787;23.371235;20.741665;254.63225;398.1781;80.90213;97.0;222.86105;0.60531384;0.54146755;-0.06384629;0.0
27.03.2024 00:35;5.6E-45;5.6E-45;1.1E-44;35.8945;28.556639;70.30464;70.218834;70.325195;210.84866;235.27843;234.75482;235.35225;22.909866;23.395996;20.749998;244.00813;398.1018;80.692505;97.0;210.47417;0.47408587;0.23297371;-0.24111216;0.0
27.03.2024 00:40;5.6E-45;5.6E-45;1.1E-44;35.93849;28.708923;69.415276;69.317505;69.40213;208.13492;235.11668;234.47687;235.09209;22.94535;23.405895;20.741665;240.17401;398.13995;80.4855;97.0;208.41316;0.479629;0.25107703;-0.22855198;0.0
27.03.2024 00:45;5.6E-45;5.6E-45;1.1E-44;35.50307;28.402931;66.5664;66.455925;66.51885;199.54117;235.37154;234.83342;235.5016;22.94535;23.405895;20.733334;225.82417;398.1018;80.28475;97.0;199.04976;0.5001638;0.18965895;-0.31050485;0.0
27.03.2024 00:50;5.6E-45;5.6E-45;1.1E-44;36.168903;29.035925;64.97473;64.87489;64.97207;194.82169;235.58812;235.28026;235.75679;22.935219;23.386097;20.733334;212.6974;398.13995;80.09013;97.0;195.63843;0.36282155;0.56205434;0.19923279;0.0
27.03.2024 00:55;5.6E-45;5.6E-45;1.1E-44;35.920757;28.746443;64.27585;64.165405;64.23244;192.67369;235.40253;235.05434;235.48119;22.940289;23.386097;20.716667;207.27148;398.13995;79.896706;97.0;192.496;0.41739827;0.36231944;-0.055078834;0.0
27.03.2024 01:00;5.6E-45;5.6E-45;1.1E-44;35.32841;28.20013;71.98816;71.83186;71.89749;215.71751;235.55626;235.18582;235.55646;22.94535;23.341475;20.716665;239.83832;397.83478;79.68355;97.0;215.69281;0.42591313;0.55393857;0.12802544;0.0
27.03.2024 01:05;5.6E-45;5.6E-45;1.1E-44;34.712944;27.666332;69.86603;69.73752;69.81575;209.4193;235.78668;235.57507;236.01228;22.93015;23.381142;20.708332;230.1643;398.06366;79.47592;97.0;209.37903;0.40931442;0.40012762;-0.009186804;0.0
27.03.2024 01:10;5.6E-45;5.6E-45;1.1E-44;35.047203;27.9716;46.643017;46.546978;46.647953;139.83795;236.0533;235.78455;236.21428;22.93015;23.34644;20.7;155.1454;398.36884;79.32684;97.0;139.73906;0.67825264;0.716202;0.037949383;0.0
27.03.2024 01:15;5.6E-45;5.6E-45;1.1E-44;35.923435;28.749952;40.87971;40.75938;40.839542;122.47864;235.3378;235.08415;235.67784;22.899708;23.34644;20.7;136.17433;398.48328;79.19419;97.0;122.74145;0.40354022;0.7204816;0.31694135;0.0
27.03.2024 01:20;5.6E-45;5.6E-45;1.1E-44;36.10184;28.882599;40.91962;40.837803;40.948208;122.70563;235.05913;234.8772;235.36508;22.87939;23.331543;20.7;136.592;398.48328;79.061295;97.0;122.78484;0.6727288;0.4270513;-0.24567747;0.0
27.03.2024 01:25;5.6E-45;5.6E-45;1.1E-44;35.58511;28.362833;44.013035;43.866554;43.952774;131.83237;235.35304;234.95615;235.56241;22.828506;23.286797;20.691668;143.75717;398.44513;78.92105;97.0;131.54597;0.5378313;0.45035183;-0.08747947;0.0
