Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
25.03.2024 00:00;5.6E-45;5.6E-45;1.1E-44;34.51277;27.36743;145.11462;144.97607;145.06627;435.15698;236.62701;235.75793;236.9508;23.091698;23.602781;22.233334;464.94226;393.40973;65.03649;97.0;438.2457;13.591139;14.67008;1.0789413;0.0
25.03.2024 00:05;5.6E-45;5.6E-45;1.1E-44;35.677773;28.486206;130.04436;129.93312;130.03484;390.01233;236.07834;235.709;236.14735;23.106775;23.597885;22.158335;415.26807;395.12634;64.66691;97.0;393.868;12.452963;13.712602;1.2596388;0.0
25.03.2024 00:10;5.6E-45;5.6E-45;1.1E-44;34.314148;27.339401;63.486362;63.388504;63.48489;190.35976;236.24512;235.74449;236.31386;23.071575;23.646809;22.15;204.5884;395.39337;64.473564;97.0;190.5863;0.45321238;0.47110048;0.017888099;0.0
25.03.2024 00:15;5.6E-45;5.6E-45;1.1E-44;32.67382;26.081318;62.749584;62.62181;62.714844;188.08624;235.80182;235.355;235.92087;23.076607;23.632145;22.108334;200.05609;395.54596;64.28094;97.0;187.18567;0.44752046;0.31953672;-0.12798375;0.0
25.03.2024 00:20;5.6E-45;5.6E-45;1.1E-44;32.350502;25.887684;63.70084;63.585335;63.678154;190.96432;235.13084;234.89627;235.43799;23.071575;23.612576;22.108334;206.95003;395.54596;64.086494;97.0;191.07297;0.41685274;0.46186656;0.045013815;0.0
25.03.2024 00:25;5.6E-45;5.6E-45;1.1E-44;33.03021;26.394833;63.76657;63.65829;63.75851;191.18338;235.20103;234.912;235.34874;23.051434;23.597885;22.091667;207.48543;395.27893;63.891018;97.0;190.51979;0.49026108;0.32599092;-0.16427016;0.0
25.03.2024 00:30;5.6E-45;5.6E-45;1.1E-44;33.34775;26.665737;62.286655;62.191624;62.278385;186.75667;235.5392;235.1609;235.80902;23.036312;23.583183;22.074999;197.65334;395.0119;63.700382;97.0;186.9168;0.39328447;0.45667654;0.06339207;0.0
25.03.2024 00:35;5.6E-45;5.6E-45;1.1E-44;33.041023;26.406988;61.814526;61.69452;61.780117;185.28917;234.945;234.80272;235.24117;23.026228;23.479961;22.025;195.29585;395.46967;63.511105;97.0;185.30467;0.35569975;0.37199858;0.01629883;0.0
25.03.2024 00:40;5.6E-45;5.6E-45;1.1E-44;32.596832;26.084148;84.391266;84.26291;84.3501;253.00427;235.3405;235.1795;235.48698;23.026228;23.46024;21.966667;274.26758;394.47784;63.262947;97.0;252.86256;0.58469576;0.5225701;-0.062125683;0.0
25.03.2024 00:45;5.6E-45;5.6E-45;1.1E-44;31.854815;25.5226;86.49196;86.36261;86.43247;259.28705;236.1827;235.8046;236.36499;23.016138;23.465172;21.941668;286.5793;394.3634;63.008953;97.0;258.27267;0.61617756;0.3639476;-0.25222996;0.0
