(rct) ~/SAPDevelop/git/prv/rct-reader> python pv_reader.py --host HF-A21.fritz.box --listen-only 
Listening to inverter port

11:40:17: Response inverter_sn (2032446425): value: 0065B402017939, type: 10
11:40:18: Response buf_v_control.power_reduction_max_solar (1270937972): value: 9880.0, type: 9
11:40:18: Response g_sync.p_ac_lp[0] (1910573905): value: 321.4053955078125, type: 9
11:40:18: Response g_sync.p_ac_lp[1] (1847352184): value: 321.240234375, type: 9
11:40:18: Response g_sync.p_ac_lp[2] (3113389137): value: 321.62628173828125, type: 9
11:40:18: Response g_sync.u_zk_sum_mov_avg (605358981): value: 768.2943725585938, type: 9
11:40:18: Response g_sync.p_ac_sum_lp (3677186478): value: 964.2719116210938, type: 9
11:40:18: Response battery.ah_capacity (3044759997): value: 25.0, type: 9
11:40:18: Response battery.current (563485528): value: -5.587000370025635, type: 9
11:40:18: Response acc_conv.i_acc_lp_fast (184407759): value: -5.449143886566162, type: 9
11:40:18: Response battery.cycles (3235850616): value: 13, type: 7
11:40:18: Response db.temp2 (1332960528): value: 32.9997444152832, type: 9
11:40:18: Response battery.maximum_discharge_current (3742004060): value: 24.999982833862305, type: 9
11:40:18: Response battery.maximum_charge_current (509594224): value: 24.999977111816406, type: 9
11:40:18: Response battery.soh (941329401): value: 1.0, type: 9
11:40:25: Response battery.stored_energy (1433419803): value: 156768.890625, type: 9
11:40:25: Response battery.used_energy (2835560576): value: 144274.25, type: 9
11:40:25: Response battery.voltage (1710149915): value: 405.218994140625, type: 9
11:40:25: Response battery.bms_software_version (2641911436): value: 5597, type: 6
11:40:25: Response battery.bms_sn (379713604): value: 0180A714022419, type: 10
11:40:25: Response g_sync.p_acc_lp (1074725211): value: -2232.166015625, type: 9
11:40:25: Response battery.soc (2509844671): value: 0.8237771391868591, type: 9
11:40:25: Response battery.temperature (2418735867): value: 28.200000762939453, type: 9
11:40:25: Response dc_conv.dc_conv_struct[0].u_sg_lp (2996320605): value: 477.4632568359375, type: 9
11:40:25: Response dc_conv.dc_conv_struct[1].u_sg_lp (1538787162): value: 471.874755859375, type: 9
